% Model:              me_rodliteral_losses.mph
% Version:            COMSOL 5.2.1.262
% Date:               Oct 3 2017, 22:13
% Dimension:          3
% Nodes:              65331
% Expressions:        1
% Description:        Energy (Joules)
% Length unit:        mm
% x             y              z              real(f32energy(bn,es.normE,ang))-enm
0.15000         0.40000        0.0000         5.7706
0.20000         0.40000        0.0000         6.1645
0.25000         0.40000        0.0000         6.5747
0.30000         0.40000        0.0000         6.9799
0.35000         0.40000        0.0000         7.3846
0.40000         0.40000        0.0000         7.7794
0.45000         0.40000        0.0000         8.1506
0.50000         0.40000        0.0000         8.5242
0.55000         0.40000        0.0000         8.8548
0.60000         0.40000        0.0000         9.1946
0.65000         0.40000        0.0000         9.5066
0.70000         0.40000        0.0000         9.7914
0.75000         0.40000        0.0000         10.073
0.80000         0.40000        0.0000         10.341
0.85000         0.40000        0.0000         10.589
0.90000         0.40000        0.0000         10.796
0.95000         0.40000        0.0000         10.969
1.0000          0.40000        0.0000         11.192
1.0500          0.40000        0.0000         11.402
1.1000          0.40000        0.0000         11.565
1.1500          0.40000        0.0000         11.719
1.2000          0.40000        0.0000         11.868
1.2500          0.40000        0.0000         12.003
1.3000          0.40000        0.0000         12.110
1.3500          0.40000        0.0000         12.241
1.4000          0.40000        0.0000         12.354
1.4500          0.40000        0.0000         12.463
1.5000          0.40000        0.0000         12.578
1.5500          0.40000        0.0000         12.669
1.6000          0.40000        0.0000         12.740
1.6500          0.40000        0.0000         12.813
1.7000          0.40000        0.0000         12.876
1.7500          0.40000        0.0000         12.943
1.8000          0.40000        0.0000         13.010
1.8500          0.40000        0.0000         13.052
1.9000          0.40000        0.0000         13.103
1.9500          0.40000        0.0000         13.155
2.0000          0.40000        0.0000         13.167
2.0500          0.40000        0.0000         13.218
2.1000          0.40000        0.0000         13.237
2.1500          0.40000        0.0000         13.288
2.2000          0.40000        0.0000         13.313
2.2500          0.40000        0.0000         13.338
2.3000          0.40000        0.0000         13.371
2.3500          0.40000        0.0000         13.385
2.4000          0.40000        0.0000         13.396
2.4500          0.40000        0.0000         13.411
2.5000          0.40000        0.0000         13.426
2.5500          0.40000        0.0000         13.436
2.6000          0.40000        0.0000         13.422
2.6500          0.40000        0.0000         13.409
2.7000          0.40000        0.0000         13.448
2.7500          0.40000        0.0000         13.465
2.8000          0.40000        0.0000         13.449
2.8500          0.40000        0.0000         13.432
2.9000          0.40000        0.0000         13.414
2.9500          0.40000        0.0000         13.403
3.0000          0.40000        0.0000         13.381
0.0000          0.45000        0.0000         5.6337
0.050000        0.45000        0.0000         5.7946
0.10000         0.45000        0.0000         6.1353
0.15000         0.45000        0.0000         6.5190
0.20000         0.45000        0.0000         6.9296
0.25000         0.45000        0.0000         7.3370
0.30000         0.45000        0.0000         7.7550
0.35000         0.45000        0.0000         8.1608
0.40000         0.45000        0.0000         8.5526
0.45000         0.45000        0.0000         8.9354
0.50000         0.45000        0.0000         9.3126
0.55000         0.45000        0.0000         9.6459
0.60000         0.45000        0.0000         9.9649
0.65000         0.45000        0.0000         10.270
0.70000         0.45000        0.0000         10.541
0.75000         0.45000        0.0000         10.826
0.80000         0.45000        0.0000         11.064
0.85000         0.45000        0.0000         11.301
0.90000         0.45000        0.0000         11.505
0.95000         0.45000        0.0000         11.731
1.0000          0.45000        0.0000         11.932
1.0500          0.45000        0.0000         12.057
1.1000          0.45000        0.0000         12.233
1.1500          0.45000        0.0000         12.385
1.2000          0.45000        0.0000         12.538
1.2500          0.45000        0.0000         12.668
1.3000          0.45000        0.0000         12.793
1.3500          0.45000        0.0000         12.899
1.4000          0.45000        0.0000         13.021
1.4500          0.45000        0.0000         13.095
1.5000          0.45000        0.0000         13.198
